Item_Brand,Food_Category,Total_Products_Stocked,Average_Price_INR,Average_Weight_Grams,Total_Calories_Stock
Amul,Bakery,525,394.87561893895383,1516.1809523809525,72250.0
Amul,Dairy,633,403.62672310486437,1802.1990521327014,87300.0
Amul,Snacks,195,408.5419458757024,1107.4307692307693,20950.0
Amul,Vegetables,724,417.60848769992106,1503.7886740331492,101050.0
Britannia,Bakery,382,395.6892490929816,1880.3534031413612,57450.0
Britannia,Dairy,475,395.94066154152756,2172.9305263157894,66600.0
Britannia,Snacks,146,446.68955286112265,1111.63698630137,18000.0
Britannia,Vegetables,580,411.8739538772521,1618.6103448275862,78450.0
Catch_Spices,Bakery,224,424.70655394817976,1820.5223214285713,31700.0
Catch_Spices,Dairy,217,416.36779690583364,1505.520737327189,34350.0
Catch_Spices,Snacks,71,418.5144688768406,539.4366197183099,7950.0
Catch_Spices,Vegetables,279,411.04530710372933,1551.6021505376343,40950.0
Fortune,Bakery,209,411.19700074287914,1064.11004784689,30700.0
Fortune,Dairy,196,380.57626974401404,3123.6989795918366,27600.0
Fortune,Snacks,87,414.8326214794616,1734.471264367816,8800.0
Fortune,Vegetables,242,413.2111581130225,554.7520661157025,35100.0
